sample,depth_m,drx_arc,drx_qz,drx_fk,drx_pl,drx_ca,drx_si,drx_do,drx_py,drx_ba,toc
1,727.14,56,25,0,8,3,2,3,2,1,0.57
2,729,53,27,0,10,2,0,4,3,1,1.12
3,731.06,50,30,0,10,2,2,4,3,1,1.32
4,731.9,52,27,0,9,2,1,4,4,1,1.51
5,733.05,51,25,0,9,1,0,5,7,2,2.03
6,734.39,47,29,5,11,1,0,5,3,0,1.26
7,735.25,44,30,4,12,2,2,4,3,1,1.21
8,736,42,29,6,15,2,0,3,4,0,1.16
9,736.54,37,32,10,11,3,1,4,2,0,0.9
10,746.83,41,32,4,10,4,1,4,3,2,1.22
11,748,44,29,8,9,4,0,3,3,1,1.44
12,749.29,43,32,6,8,3,0,4,3,1,1.47
13,750.38,45,32,3,10,3,0,3,4,1,1.39
14,752.87,24,45,7,14,5,0,5,0,1,0.57
15,754.72,26,40,4,19,3,1,5,2,1,0.91
16,755.03,31,40,0,17,3,0,5,2,2,0.51
17,756,21,43,0,16,2,0,17,0,1,0.47
18,758.04,25,48,0,16,3,0,7,0,1,0.84
19,759.19,35,35,8,13,3,0,2,3,1,1.18
20,762.48,33,39,5,15,2,0,3,2,1,1.15
21,764.6,30,37,8,15,3,0,4,2,1,0.94
22,767,31,39,9,13,3,0,3,0,2,0.97
23,769.3,33,35,8,15,2,0,4,2,1,1.02
24,775.89,34,36,8,12,1,0,4,4,1,1.23
25,779.79,31,39,7,14,2,1,4,2,0,1.32
26,781.2,31,43,0,13,4,0,3,4,1,1.5
27,790.43,32,37,10,8,4,0,5,3,1,2.5
28,793.13,25,42,6,8,3,0,2,13,1,4.4
29,793.5,26,48,7,10,2,0,3,3,1,4.24
30,793.87,29,39,0,12,1,0,5,14,0,4.37
31,796.61,14,74,0,8,1,0,3,0,0,3.74
