,param_svr__C,param_svr__epsilon,param_svr__kernel
2,0.003619595990038508,22.375882528244357,linear
9,1.0691593986059968e-06,3.4885114865499216,rbf
1,5.001575677983704,11.655266791092009,linear
5,0.7451164370027008,32.730896501169475,linear
7,0.022244596968016832,22.91257035436645,linear
6,0.08642410048155082,1.5955669452672732,linear
0,0.0019091131576909443,0.6634465582030861,rbf
8,44.037625157309144,0.402690660245868,rbf
16,1.6248130681052227e-06,0.0207434415223868,rbf
42,1e-06,0.00018834057955893394,rbf
27,1e-06,1e-06,rbf
14,1e-06,4.601065039903267e-06,linear
18,1e-06,1.3915846034521865e-06,linear
10,1e-06,0.00020732799430217075,linear
17,9.33158841550537e-06,0.0016352310767561527,linear
11,0.33508667818130433,6.924983999045045e-05,rbf
15,100.0,1.4054744056040407e-06,rbf
3,3.1562246465541888,2.3712235042499274e-05,rbf
4,2.491308632420524,0.0031932541960563612,rbf
41,0.04685021642876139,8.187647605105163e-05,linear
32,0.16337080929855594,0.0007761087447008088,linear
48,0.6270844258694543,0.006849707492957567,linear
44,0.6743515334801023,4.740490828532521e-06,linear
13,0.3275918594613165,1.1282438672585566e-06,linear
24,1.1888635494009308,2.8713914105689154e-05,linear
26,24.877514169308782,0.00022365083834491163,linear
20,20.41147142386148,3.5385723582299692e-06,linear
37,20.454490708945105,0.001949313767181811,linear
45,1.7964553279853486,0.0007727532756780674,linear
19,46.14087767444653,1.5024388817880057e-05,linear
23,2.171033614095614,0.0001723404451352945,linear
43,14.542572289813762,4.989810222599902e-05,linear
36,2.7587978698201616,0.003044373554115871,linear
40,23.76673575007761,0.006391071582812235,linear
12,70.24547043140943,1.4413358253002722e-06,linear
30,13.593752414512691,0.000837082752893363,linear
25,12.208812520671488,1e-06,linear
35,100.0,3.989692480238689e-05,linear
34,100.0,1e-06,linear
22,100.0,0.00010484356848398584,linear
21,100.0,0.00039290513458069867,linear
28,100.0,0.0013330242620388484,linear
33,100.0,0.00322824434128782,linear
49,100.0,0.018623863276014972,linear
46,100.0,0.004854122341932194,linear
31,9.421612965887165,0.0024585178797216062,linear
38,100.0,0.006559119728275387,linear
39,100.0,0.009463479507653604,linear
47,100.0,0.014685186228579786,linear
29,4.820776255233539,0.0010783289220750343,linear
